golfCourseId,golf_name,address,url,lat,lng
GC1417,相模湖カントリークラブ,252-0186 神奈川県相模原市緑区牧野１４３４２,https://www.google.com/search?q=相模湖カントリークラブ,35.5739706,139.1577769
GC1418,相模野カントリー倶楽部,252-0114 神奈川県相模原市緑区葉山島１０１０−１ 相模野ＣＣ,https://www.google.com/search?q=相模野カントリー倶楽部,35.5588722,139.3026123
GC1419,相模原ゴルフクラブ,252-0331 神奈川県相模原市南区大野台４丁目３０−１ 相模原ＧＣ,https://www.google.com/search?q=相模原ゴルフクラブ,35.5476805,139.400405
GC1420,湘南シーサイドカントリー倶楽部,253-0073 神奈川県茅ヶ崎市中島１５６７,https://www.google.com/search?q=湘南シーサイドカントリー倶楽部,35.324534,139.374669
GC1421,大厚木カントリークラブ,243-0201 神奈川県厚木市上荻野４０８８,https://www.google.com/search?q=大厚木カントリークラブ,35.4991465,139.298873
GC1422,チェックメイトカントリークラブ,258-0003 神奈川県足柄上郡松田町松田惣領３０３３−１,https://www.google.com/search?q=チェックメイトカントリークラブ,35.3619308,139.1393737
GC1423,津久井湖ゴルフ倶楽部,252-0159 神奈川県相模原市緑区三ケ木４９２,https://www.google.com/search?q=津久井湖ゴルフ倶楽部,35.5853347,139.2364196
GC1424,東京カントリー倶楽部,257-0023 神奈川県秦野市寺山１４５０,https://www.google.com/search?q=東京カントリー倶楽部,35.4008059,139.2436104
GC1425,東京ロイヤルゴルフ倶楽部,243-0308 神奈川県愛甲郡愛川町三増１７６４−４,https://www.google.com/search?q=東京ロイヤルゴルフ倶楽部,35.5456603,139.3067074
GC1426,東名厚木カントリー倶楽部,243-0308 神奈川県愛甲郡愛川町三増２６０７,https://www.google.com/search?q=東名厚木カントリー倶楽部,,
GC1427,戸塚カントリー倶楽部,241-0834 神奈川県横浜市旭区大池町２６,https://www.google.com/search?q=戸塚カントリー倶楽部,35.4436613,139.5377083
GC1428,中津川カントリークラブ,243-0202 神奈川県厚木市中荻野１９４１−１,https://www.google.com/search?q=中津川カントリークラブ,35.51823030000001,139.3098742
GC1429,長竹カントリークラブ,252-0154 神奈川県相模原市緑区長竹１８３８ 長竹ＣＣ,https://www.google.com/search?q=長竹カントリークラブ,35.5603934,139.2628872
GC1430,箱根カントリー倶楽部,250-0631 神奈川県足柄下郡箱根町仙石原１２４５,https://www.google.com/search?q=箱根カントリー倶楽部,35.25087730000001,138.9947052
GC1431,秦野カントリークラブ,257-0027 神奈川県秦野市西田原 花見平1400-5,https://www.google.com/search?q=秦野カントリークラブ,35.4004953,139.2130957
GC1432,葉山国際カンツリー倶楽部,240-0114 神奈川県三浦郡葉山町木古庭１０４３−１,https://www.google.com/search?q=葉山国際カンツリー倶楽部,35.2571969,139.624165
GC1433,平塚富士見カントリークラブ,259-0151 神奈川県足柄上郡中井町井ノ口５３７,https://www.google.com/search?q=平塚富士見カントリークラブ,35.3299799,139.2482747
GC1434,本厚木カンツリークラブ,243-0213 神奈川県厚木市飯山１７００,https://www.google.com/search?q=本厚木カンツリークラブ,35.4616449,139.3371888
GC1435,湯河原カンツリー倶楽部,259-0312 神奈川県足柄下郡湯河原町吉浜２０２０,https://www.google.com/search?q=湯河原カンツリー倶楽部,35.1705375,139.1108468
GC1436,横浜カントリークラブ,240-0035 神奈川県横浜市保土ケ谷区今井町１０２５,https://www.google.com/search?q=横浜カントリークラブ,35.445905,139.5489545
GC1437,レインボーカントリー倶楽部,259-0156 神奈川県足柄上郡中井町境別所駐車場,https://www.google.com/search?q=レインボーカントリー倶楽部,35.3556098,139.2025909
GC1438,石地シーサイドカントリークラブ,949-4204 新潟県柏崎市西山町大崎８７３,https://www.google.com/search?q=石地シーサイドカントリークラブ,37.4950147,138.6459956
GC1439,糸魚川カントリークラブ,941-0055 新潟県糸魚川市蓮台寺１５５０,https://www.google.com/search?q=糸魚川カントリークラブ,37.0171699,137.87471
GC1440,越後ゴルフ倶楽部,946-0113 新潟県魚沼市東中７８５,https://www.google.com/search?q=越後ゴルフ倶楽部,37.2739646,138.9490166
GC1441,笹神五頭ゴルフ倶楽部,959-1946 新潟県阿賀野市押切前山１２６９−１,https://www.google.com/search?q=笹神五頭ゴルフ倶楽部,37.819173,139.27324
GC1442,紫雲ゴルフ倶楽部,957-0236 新潟県新発田市元郷２１１,https://www.google.com/search?q=紫雲ゴルフ倶楽部,38.01556,139.298335
GC1443,下田城カントリー倶楽部,955-0144 新潟県三条市楢山５２,https://www.google.com/search?q=下田城カントリー倶楽部,37.5315273,139.0541857
GC1444,新発田城カントリー倶楽部,957-0042 新潟県新発田市浦１０２３−１,https://www.google.com/search?q=新発田城カントリー倶楽部,37.900989,139.347051
GC1445,胎内高原ゴルフ倶楽部,959-2822 新潟県胎内市夏井１２４４−１,https://www.google.com/search?q=胎内高原ゴルフ倶楽部,38.0293389,139.5088451
GC1446,中条ゴルフ倶楽部,959-2709 新潟県胎内市村松浜５５５,https://www.google.com/search?q=中条ゴルフ倶楽部,38.0501583,139.3261078
GC1447,中峰ゴルフ倶楽部,959-2335 新潟県新発田市本田１３０−４,https://www.google.com/search?q=中峰ゴルフ倶楽部,37.8795333,139.2988053
GC1448,長岡カントリー倶楽部,940-2135 新潟県長岡市深沢町２５６４,https://www.google.com/search?q=長岡カントリー倶楽部,37.419564,138.761523
GC1449,新潟ゴルフ倶楽部,953-0075 新潟県新潟市西蒲区峰岡７４４ 新潟カントリー倶楽部,https://www.google.com/search?q=新潟ゴルフ倶楽部,37.760435,138.844416
GC1450,新津カントリークラブ,956-0836 新潟県新潟市秋葉区田家８５００,https://www.google.com/search?q=新津カントリークラブ,37.777679,139.13206
GC1451,日本海カントリークラブ,959-2609 新潟県胎内市荒井浜５２８−３,https://www.google.com/search?q=日本海カントリークラブ,38.112503,139.387194
GC1452,ノーブルウッドゴルフクラブ,957-0231 新潟県新発田市藤塚浜２００１,https://www.google.com/search?q=ノーブルウッドゴルフクラブ,38.0268127,139.3149125
GC1453,フォレストカントリー倶楽部,959-2393 新潟県新発田市万代８５５,https://www.google.com/search?q=フォレストカントリー倶楽部,37.895776,139.306012
